TASK 1 – EXCEL BASED EXPLORATION,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
,,,,
Dataset Profile,,,,
Dataset ,SIZE,,,
Number of records,499,,,
Number of columns,8,,,
Column names,"ID, Name, Age, Overall, Potential, Preferred Foot, Position, Finishing",,,
,,,,
,,,,
VALUE RANGE,,,,
Field,MIN,MAX,AVG,RANGE
Age,18,40,27.19238476953908,22
Overall,80,94,82.90581162324649,14
Potential,80,95,84.83166332665331,15
Finishing,8,95,59.61523046092184,87
,,,,
Count by Preferred Foot,,,,
Preferred Foot,Count,,,
Left,131,,,
Right,368,,,
TOTAL,499,,,
,,,,
Overall Rating Band Distribution,,,,
Overall Band,Formula,,,
Below 60,0,,,
60–69,0,,,
70–79,0,,,
80–89,485,,,
90-100,14,,,
total,,,,
,,,,
Age Band Distribution,,,,
Age Band,Formula,,,
Under 20,4,,,
20–24,119,,,
25–28,197,,,
29–32,119,,,
33+,37,,,
TOTAL,499,,,
,,,,
Count by Position,,,,
POSITION,COUNT,,,
CAM,32,,,
CB,29,,,
CDM,19,,,
CF,5,,,
CM,26,,,
GK,57,,,
LB,24,,,
LCB,28,,,
LCM,20,,,
LDM,11,,,
LF,4,,,
LM,33,,,
LS,16,,,
LW,10,,,
LWB,1,,,
RAM,2,,,
RB,23,,,
RCB,29,,,
RCM,19,,,
RDM,8,,,
RF,2,,,
RM,30,,,
RS,10,,,
RW,19,,,
RWB,2,,,
ST,38,,,
LAM,2,,,
TOTAL,499,,,
