ID,Name,Age,Overall,Potential,Preferred Foot,Position,Finishing
158023,L. Messi,31,94,94,Left,RF,95
20801,Cristiano Ronaldo,33,94,94,Right,ST,94
190871,Neymar Jr,26,92,93,Right,LW,87
193080,De Gea,27,91,93,Right,GK,13
192985,K. De Bruyne,27,91,92,Right,RCM,82
183277,E. Hazard,27,91,91,Right,LF,84
177003,L. ModriÄ‡,32,91,91,Right,RCM,72
176580,L. SuÃ¡rez,31,91,91,Right,RS,93
155862,Sergio Ramos,32,91,91,Right,RCB,60
200389,J. Oblak,25,90,93,Right,GK,11
188545,R. Lewandowski,29,90,90,Right,ST,91
182521,T. Kroos,28,90,90,Right,LCM,76
182493,D. GodÃ­n,32,90,90,Right,CB,42
168542,David Silva,32,90,90,Left,LCM,76
215914,N. KantÃ©,27,89,90,Right,LDM,65
211110,P. Dybala,24,89,94,Left,LF,84
202126,H. Kane,24,89,91,Right,ST,94
194765,A. Griezmann,27,89,90,Left,CAM,90
192448,M. ter Stegen,26,89,92,Right,GK,14
192119,T. Courtois,26,89,90,Left,GK,14
189511,Sergio Busquets,29,89,89,Right,CDM,67
179813,E. Cavani,31,89,89,Right,LS,89
167495,M. Neuer,32,89,89,Right,GK,13
153079,S. AgÃ¼ero,30,89,89,Right,ST,93
138956,G. Chiellini,33,89,89,Left,LCB,33
231747,K. MbappÃ©,19,88,95,Right,RM,88
209331,M. Salah,26,88,89,Left,RM,90
200145,Casemiro,26,88,90,Right,CDM,59
198710,J. RodrÃ­guez,26,88,89,Left,LAM,83
198219,L. Insigne,27,88,88,Right,LW,77
197781,Isco,26,88,91,Right,LW,79
190460,C. Eriksen,26,88,91,Right,CAM,80
189242,Coutinho,26,88,89,Right,LW,79
188567,P. Aubameyang,29,88,88,Right,LM,88
178603,M. Hummels,29,88,88,Right,LCB,55
176676,Marcelo,30,88,88,Left,LB,70
173731,G. Bale,28,88,88,Left,ST,86
167948,H. Lloris,31,88,88,Left,GK,10
167664,G. HiguaÃ­n,30,88,88,Right,LS,92
164240,Thiago Silva,33,88,88,Right,RCB,38
162835,S. HandanoviÄ,33,88,88,Right,GK,10
1179,G. Buffon,40,88,88,Right,GK,15
205600,S. Umtiti,24,87,92,Left,CB,51
201399,M. Icardi,25,87,90,Right,ST,91
201024,K. Koulibaly,27,87,90,Right,LCB,19
195864,P. Pogba,25,87,91,Right,RDM,73
193041,K. Navas,31,87,87,Right,GK,15
192505,R. Lukaku,25,87,89,Left,ST,87
192387,C. Immobile,28,87,87,Right,ST,90
189332,Jordi Alba,29,87,87,Left,LB,73
175943,D. Mertens,31,87,87,Right,RF,86
172871,J. Vertonghen,31,87,87,Left,LCB,56
171877,M. HamÅ¡Ã­k,30,87,87,Right,LCM,79
168651,I. RakitiÄ‡,30,87,87,Right,RCM,83
152729,PiquÃ©,31,87,87,Right,RCB,64
222492,L. SanÃ©,22,86,92,Left,LW,81
218667,Bernardo Silva,23,86,91,Left,RW,75
210257,Ederson,24,86,90,Left,GK,14
208722,S. ManÃ©,26,86,87,Right,LM,84
203376,V. van Dijk,26,86,88,Right,LCB,52
202652,R. Sterling,23,86,89,Right,RW,77
201942,Roberto Firmino,26,86,87,Right,CAM,87
201535,R. Varane,25,86,91,Right,RCB,40
199556,M. Verratti,25,86,89,Right,LCM,60
191043,Alex Sandro,27,86,86,Left,LB,55
190483,Douglas Costa,27,86,86,Left,LM,67
189596,T. MÃ¼ller,28,86,86,Right,CAM,87
189509,Thiago,27,86,86,Right,CM,69
188350,M. Reus,29,86,86,Right,LM,87
184432,Azpilicueta,28,86,86,Right,RB,46
184344,L. Bonucci,31,86,86,Right,RCB,48
184087,T. Alderweireld,29,86,87,Right,RCB,45
180206,M. PjaniÄ‡,28,86,86,Right,CDM,60
177509,M. Benatia,31,86,86,Right,CB,47
176635,M. Ã–zil,29,86,86,Left,CAM,73
135507,Fernandinho,33,86,86,Right,CDM,69
41,Iniesta,34,86,86,Right,LF,70
232363,M. Å kriniar,23,85,92,Right,LCB,42
223848,S. MilinkoviÄ‡-SaviÄ‡,23,85,90,Right,CM,80
220834,Marco Asensio,22,85,92,Left,RW,82
216594,N. Fekir,24,85,89,Left,CAM,82
212831,Alisson,25,85,90,Right,GK,13
212622,J. Kimmich,23,85,88,Right,RCM,66
208421,SaÃºl,23,85,90,Left,RCM,78
204485,R. Mahrez,27,85,85,Left,RW,80
197445,D. Alaba,26,85,87,Left,LB,63
193747,Koke,26,85,86,Right,LM,72
193301,A. Lacazette,27,85,86,Right,ST,88
192774,K. Manolas,27,85,87,Right,LCB,10
192366,N. Otamendi,30,85,85,Right,CB,54
189513,Parejo,29,85,85,Right,RCM,79
187961,Paulinho,29,85,85,Right,LDM,81
186153,W. SzczÄ™sny,28,85,87,Right,GK,12
184941,A. SÃ¡nchez,29,85,85,Right,RW,80
184267,Y. Brahimi,28,85,85,Right,LM,76
183907,J. Boateng,29,85,85,Right,RCB,34
181872,A. Vidal,31,85,85,Right,CAM,75
181458,I. PeriÅ¡iÄ‡,29,85,85,Right,LM,79
180930,E. DÅ¾eko,32,85,85,Right,ST,89
179846,S. Khedira,31,85,85,Right,RCM,72
179844,Diego Costa,29,85,85,Right,LS,87
178518,R. Nainggolan,30,85,85,Right,CAM,75
171919,Naldo,35,85,85,Right,CB,57
170890,B. Matuidi,31,85,85,Left,LM,64
168609,Miranda,33,85,85,Right,CB,43
165153,K. Benzema,30,85,85,Right,ST,81
164169,Filipe LuÃ­s,32,85,85,Left,LB,59
139720,V. Kompany,32,85,85,Right,CB,45
120533,Pepe,35,85,85,Right,RCB,46
41236,Z. IbrahimoviÄ‡,36,85,85,Right,RS,86
220793,D. SÃ¡nchez,22,84,88,Right,RCB,40
216460,J. GimÃ©nez,23,84,88,Right,RCB,37
212462,Alex Telles,25,84,87,Left,LB,65
212218,A. Laporte,24,84,88,Left,LCB,45
212198,Bruno Fernandes,23,84,88,Right,LCM,73
212190,N. SÃ¼le,22,84,90,Right,CB,20
211300,A. Martial,22,84,90,Right,LW,84
211117,D. Alli,22,84,90,Right,LCM,83
209499,Fabinho,24,84,88,Right,CDM,66
207865,Marquinhos,24,84,89,Right,LDM,33
207566,William Carvalho,26,84,86,Right,CDM,52
205498,Jorginho,26,84,87,Right,CM,57
204970,F. Thauvin,25,84,87,Left,RM,81
204963,Carvajal,26,84,87,Right,RB,41
202556,M. Depay,24,84,89,Right,ST,79
200104,H. Son,25,84,85,Right,LM,85
199482,A. Lopes,27,84,86,Left,GK,18
198176,S. de Vrij,26,84,86,Right,CB,25
198009,M. Perin,25,84,89,Right,GK,11
193082,J. Cuadrado,30,84,84,Right,RAM,67
192629,Iago Aspas,30,84,84,Left,ST,88
192563,B. Leno,26,84,87,Right,GK,9
191202,N. MatiÄ‡,29,84,84,Left,CDM,64
190941,L. HrÃ¡deckÃ½,28,84,84,Right,GK,11
190584,Illarramendi,28,84,84,Right,RDM,72
188377,K. Walker,28,84,84,Right,RB,51
186942,I. GÃ¼ndoÄŸan,27,84,84,Right,CM,73
185020,JosÃ© CallejÃ³n,31,84,84,Right,RM,78
183898,A. Di MarÃ­a,30,84,84,Left,RM,72
181783,M. MandÅ¾ukiÄ‡,32,84,84,Right,ST,84
180403,Willian,29,84,84,Right,RW,77
178750,Sergio Asenjo,29,84,85,Right,GK,14
178562,E. Banega,30,84,84,Right,CDM,66
177413,A. Witsel,29,84,84,Right,LCM,71
177388,D. Payet,31,84,84,Right,CAM,78
176769,Jonas,34,84,84,Right,ST,88
172879,Sokratis,30,84,84,Right,RCB,44
167628,S. Ruffier,31,84,84,Right,GK,11
167397,Falcao,32,84,84,Right,RS,86
163587,K. Schmeichel,31,84,84,Right,GK,12
157481,RaÃºl Albiol,32,84,84,Right,RCB,27
143076,A. GÃ³mez,30,84,84,Right,LS,76
137186,A. Barzagli,37,84,84,Right,CB,21
20775,Quaresma,34,84,84,Right,RM,67
9014,A. Robben,34,84,84,Left,RM,85
231443,O. DembÃ©lÃ©,21,83,92,Left,RW,78
230666,Gabriel Jesus,21,83,92,Right,ST,84
230481,Ronaldo Cabrais,26,83,83,Right,RW,74
230375,JosuÃ© Chiamulera,26,83,83,Right,LCB,38
230294,Louri Beretta,26,83,83,Right,ST,85
225850,P. Kimpembe,22,83,89,Left,LCB,31
220971,N. KeÃ¯ta,23,83,88,Right,CM,74
219683,C. Tolisso,23,83,88,Right,CM,75
213565,T. Lemar,22,83,89,Left,LM,75
213345,K. Coman,22,83,87,Right,LM,76
213331,J. Tah,22,83,88,Right,CB,20
212523,Anderson Talisca,24,83,90,Left,CAM,80
212188,T. Werner,22,83,87,Right,RW,87
210008,A. Rabiot,23,83,87,Left,CM,69
209658,L. Goretzka,23,83,88,Right,CM,72
208808,Q. Promes,26,83,84,Right,RM,86
208670,H. Ziyech,25,83,86,Left,RAM,68
208618,Lucas VÃ¡zquez,27,83,83,Right,RW,73
208418,Y. Carrasco,24,83,86,Right,LM,79
208093,Gerard Moreno,26,83,85,Left,LS,83
207863,Felipe,29,83,83,Right,RCB,39
207410,M. KovaÄiÄ‡,24,83,89,Right,LCM,62
206585,Kepa,23,83,91,Right,GK,11
206545,Manu Trigueros,26,83,84,Right,RCM,71
206113,S. Gnabry,22,83,88,Right,ST,81
204935,J. Pickford,24,83,88,Left,GK,19
204639,S. SaviÄ‡,27,83,86,Right,CB,34
203574,J. Stones,24,83,87,Right,RCB,29
202651,Suso,24,83,86,Left,RW,70
202166,J. Draxler,24,83,86,Right,CM,78
201995,Felipe Anderson,25,83,85,Right,LM,71
200949,Lucas Moura,25,83,84,Right,RM,78
200888,Danilo Pereira,26,83,86,Right,CDM,61
200724,Nacho FernÃ¡ndez,28,83,85,Right,CB,32
200316,T. Horn,25,83,87,Left,GK,13
199914,Allan,27,83,83,Right,RCM,72
199845,F. Acerbi,30,83,83,Left,CB,37
199564,Sergi Roberto,26,83,86,Right,RB,63
198329,Rodrigo,27,83,84,Left,ST,78
197965,Pizzi,28,83,83,Right,LCM,76
195365,K. Kampl,27,83,83,Right,LCM,63
194404,Neto,28,83,84,Right,GK,15
193698,O. Baumann,28,83,84,Right,GK,11
193474,I. Gueye,28,83,83,Right,RDM,50
192883,H. Mkhitaryan,29,83,83,Right,RM,74
192638,Marcos Alonso,27,83,84,Left,LB,68
192593,D. SubaÅ¡iÄ‡,33,83,83,Right,GK,10
190547,K. Glik,30,83,83,Right,RCB,27
189712,K. Strootman,28,83,83,Left,CDM,68
189068,B. Dost,29,83,83,Right,ST,87
188152,Oscar,26,83,84,Right,LCM,76
186627,M. Balotelli,27,83,83,Right,LS,85
185221,Luiz Gustavo,30,83,83,Left,LCB,48
184942,Giuliano,28,83,83,Right,CAM,79
179944,David Luiz,31,83,83,Right,LCB,55
179783,R. FÃ¤hrmann,29,83,84,Right,GK,11
178088,Juan Mata,30,83,83,Left,RM,78
178086,AdÃ¡n,31,83,83,Left,GK,11
178005,Rui PatrÃ­cio,30,83,83,Left,GK,12
177683,Y. Sommer,29,83,84,Right,GK,13
177610,Javi MartÃ­nez,29,83,83,Right,CDM,43
177457,L. Bender,29,83,83,Right,RB,59
176266,Lucas Leiva,31,83,83,Right,LDM,62
163705,S. Mandanda,33,83,83,Right,GK,13
162895,Cesc FÃ bregas,31,83,83,Right,CM,72
162240,M. DembÃ©lÃ©,30,83,83,Left,CM,66
156616,F. RibÃ©ry,35,83,83,Right,LM,74
104389,R. Jarstein,33,83,83,Right,GK,13
53302,D. De Rossi,34,83,83,Right,RDM,50
24630,Pepe Reina,35,83,83,Right,GK,14
236583,J. Pavlenka,26,82,85,Right,GK,16
235243,M. de Ligt,18,82,91,Right,RCB,53
231866,Rodri,22,82,87,Right,CM,64
230658,Arthur,21,82,90,Right,LCM,72
230621,G. Donnarumma,19,82,93,Right,GK,12
230258,Rosberto Dourado,30,82,82,Right,RCM,53
230225,Juiano Mestres,34,82,82,Right,RCB,56
230168,Raphaelito Anjos,30,82,82,Right,GK,8
227055,Gelson Martins,23,82,87,Right,RM,66
224411,GonÃ§alo Guedes,21,82,86,Right,LM,75
223959,L. Torreira,22,82,87,Right,LCM,50
222737,Malcom,21,82,89,Left,RW,75
221087,Pau LÃ³pez,23,82,87,Left,GK,19
220814,L. HernÃ¡ndez,22,82,88,Left,LB,42
220440,C. Lenglet,23,82,88,Left,LCB,23
216354,A. KramariÄ‡,27,82,83,Right,LCM,86
216267,A. Robertson,24,82,87,Left,LB,57
216194,Dani GarcÃ­a,28,82,83,Right,RCM,51
212404,F. Bernardeschi,24,82,87,Left,RM,70
212194,J. Brandt,22,82,88,Right,LM,78
211320,D. Rugani,23,82,86,Right,CB,33
210617,Samu Castillejo,23,82,86,Left,RM,77
210514,JoÃ£o Cancelo,24,82,88,Right,RB,58
210413,A. Romagnoli,23,82,89,Left,LCB,30
209989,T. Partey,25,82,88,Right,CDM,63
209297,Fred,25,82,84,Left,CM,74
208830,J. Vardy,31,82,82,Right,ST,85
208596,A. Belotti,24,82,87,Right,LS,88
208448,E. Forsberg,26,82,83,Right,LM,70
207494,J. Lingard,25,82,83,Right,CAM,78
207471,F. VÃ¡zquez,29,82,82,Left,LCM,74
205678,E. ViÅ¡Ä‡a,28,82,82,Right,RM,80
205452,A. RÃ¼diger,25,82,84,Right,CB,27
203551,A. Florenzi,27,82,83,Right,RB,70
203263,H. Maguire,25,82,85,Right,LCB,43
202371,T. Meunier,26,82,83,Right,RM,76
201956,S. SanÃ©,27,82,82,Right,CB,38
201455,G. Kondogbia,25,82,85,Left,CM,69
201400,Rafinha,25,82,87,Left,CAM,73
201305,Gabriel Paulista,27,82,83,Right,LCB,42
201153,Morata,25,82,85,Right,ST,80
199987,J. Cillessen,29,82,84,Right,GK,10
199451,W. Ben Yedder,27,82,82,Right,RS,84
198951,C. Bakambu,27,82,83,Right,ST,84
198950,Pablo Sarabia,26,82,83,Left,RCM,78
198717,W. Zaha,25,82,85,Right,LS,77
198706,Luis Alberto,25,82,85,Right,CF,80
198164,Jonathan Viera,28,82,82,Right,LF,78
198141,Bartra,27,82,83,Right,CB,55
197655,S. Coates,27,82,83,Right,RCB,42
195093,Willian JosÃ©,26,82,83,Right,ST,84
193525,MÃ¡rio Fernandes,27,82,82,Right,RB,56
193469,VÃ­ctor Ruiz,29,82,83,Left,LCB,37
193283,T. Delaney,26,82,83,Left,LCM,72
192984,K. Casteels,26,82,85,Left,GK,15
192318,M. GÃ¶tze,26,82,85,Right,CM,75
192227,S. Mustafi,26,82,84,Right,RCB,58
191180,J. Pastore,29,82,82,Right,CAM,73
189505,Pedro,30,82,82,Right,RW,78
189125,G. Bonaventura,28,82,82,Right,CM,70
189117,R. BÃ¼rki,27,82,85,Right,GK,8
188803,Taison,30,82,82,Right,LM,76
187936,S. Nzonzi,29,82,82,Right,CDM,64
187754,Marlos,30,82,82,Left,RM,79
186561,A. Ramsey,27,82,83,Right,CAM,74
186345,K. Trippier,27,82,82,Right,RB,48
185103,A. Kolarov,32,82,82,Left,LB,55
184484,G. SigurÃ°sson,28,82,82,Right,CAM,77
184431,S. Giovinco,31,82,82,Right,CF,80
184200,M. ArnautoviÄ‡,29,82,82,Right,LS,78
184144,N. GaitÃ¡n,30,82,82,Left,CAM,71
183711,J. Henderson,28,82,82,Right,RCM,67
183574,M. Kruse,30,82,82,Left,ST,83
183498,M. Parolo,33,82,82,Right,RDM,70
183376,L. Fejsa,29,82,82,Right,CDM,49
183280,A. Rami,32,82,82,Right,RCB,45
181786,V. Ä†orluka,32,82,82,Right,LCB,44
181291,G. Wijnaldum,27,82,82,Right,CAM,70
179847,F. Fazio,31,82,82,Right,LCB,41
178509,O. Giroud,31,82,82,Left,ST,83
173521,Marcano,31,82,82,Left,CB,43
171897,A. Guardado,31,82,82,Left,CM,60
170481,E. Garay,31,82,82,Right,RCB,58
168530,Jardel,32,82,82,Right,LCB,38
168435,S. Sirigu,31,82,82,Right,GK,10
168354,E. Viviano,32,82,82,Left,GK,17
165229,L. Koscielny,32,82,82,Right,CB,32
163489,A. Consigli,31,82,82,Right,GK,10
158963,L. Biglia,32,82,82,Right,CDM,50
146530,Dani Alves,35,82,82,Right,RB,61
113422,David Villa,36,82,82,Right,ST,86
106231,Aduriz,37,82,82,Right,ST,83
48940,P. ÄŒech,36,82,82,Left,GK,12
5479,Casillas,37,82,82,Left,GK,12
231677,M. Rashford,20,81,89,Right,LW,78
230271,Laure Santeiro,30,81,81,Left,CAM,72
229906,L. Bailey,20,81,89,Left,LM,75
229237,M. Akanji,22,81,87,Right,LCB,36
228702,F. de Jong,21,81,89,Right,LDM,52
227928,NÃ©lson Semedo,24,81,86,Right,RB,50
226456,Pablo Fornals,22,81,86,Right,CAM,77
226271,FabiÃ¡n,22,81,89,Left,LM,79
225508,E. Bailly,24,81,87,Right,CB,33
222509,Dani Ceballos,21,81,88,Right,LCM,68
221992,H. Lozano,22,81,86,Right,LS,77
216475,Morales,30,81,81,Right,LS,80
216451,J. Seri,26,81,82,Right,LDM,69
216409,M. Politano,24,81,84,Left,RM,74
216352,M. BrozoviÄ‡,25,81,84,Right,LDM,69
216201,Williams,24,81,87,Right,LW,77
214997,A. Correa,23,81,87,Right,RM,82
213661,A. Christensen,22,81,88,Right,LCB,36
212814,JoÃ£o MÃ¡rio,25,81,84,Right,CAM,64
212151,T. Strakosha,23,81,86,Right,GK,18
210864,E. Hysaj,24,81,86,Right,RB,47
210406,P. ZieliÅ„ski,24,81,88,Right,RCM,65
210243,Ricardo Pereira,24,81,85,Right,RB,61
210035,Grimaldo,22,81,87,Left,LB,50
209889,R. Guerreiro,24,81,86,Left,LM,75
208135,A. DoucourÃ©,25,81,85,Right,RDM,73
207877,J. MartÃ­nez,25,81,84,Right,LS,84
207664,C. Bacca,31,81,81,Right,LS,84
206467,A. Plea,25,81,83,Right,LW,82
205923,B. Davies,25,81,84,Left,LB,58
205362,M. NastasiÄ‡,25,81,84,Left,LCB,30
205175,A. Milik,24,81,88,Left,CF,88
204923,M. Sabitzer,24,81,84,Right,LM,79
204884,B. Mendy,23,81,86,Left,LB,33
204024,C. Kramer,27,81,82,Right,CDM,45
203890,S. Vrsaljko,26,81,84,Right,RB,44
203486,T. Hazard,25,81,83,Right,RW,69
202857,K. Bellarabi,28,81,81,Right,RM,72
202685,S. Zaza,27,81,82,Left,RS,80
201454,F. Ghoulam,27,81,82,Left,LB,54
200726,B. Lecomte,27,81,84,Left,GK,11
200647,J. IliÄiÄ‡,30,81,81,Left,CAM,78
200610,K. Volland,25,81,83,Left,ST,81
200454,Paco AlcÃ¡cer,24,81,85,Right,ST,85
199715,Vitolo,28,81,81,Right,LM,77
